method,metric,unadjusted_A_minus_B,unadjusted_ci95_low,unadjusted_ci95_high,regression_adjusted_A_minus_B,regression_ci95_low,regression_ci95_high,matched_A_minus_B,matched_ci95_low,matched_ci95_high,unadjusted_direction,regression_direction,matched_direction,direction_consistent,zero_exclusion_consistent,interpretation_grade
Bandpass,output_vs_clean_snr,0.230536439151323,-0.29449033037463723,0.980550686277567,0.3687381146814891,-0.18110740003077888,1.1842142843387753,0.32844034731686317,-0.18953509239072477,1.065083138361026,positive,positive,positive,True,True,qualified_consistent
Bandpass,amp_ratio_clean,0.1646180915367943,-0.2732432619583522,0.603741723075359,0.26658584116039374,-0.14896868194406096,0.7880002788455893,0.11760962802222046,-0.6300194063594613,0.728142970905647,positive,positive,positive,True,True,qualified_consistent
Bandpass,corr_z,0.034164561542410654,-0.022004972199263433,0.08816006952192126,0.021642975274882077,-0.041458985149201794,0.06804426245599235,0.020802855022076662,-0.029479618966465036,0.07375474633660198,positive,positive,positive,True,True,qualified_consistent
Bandpass,background_suppression_db,0.07622700348431144,-0.42279417345538883,0.7225300129860115,0.23754963315590655,-0.2859327577658039,0.9084403773622362,0.12851146941206956,-0.25632957889435676,0.7057788820944838,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,output_vs_clean_snr,0.5733203596061571,0.14341937019731646,1.048050067629603,0.6858165668924936,0.24137898704648442,1.1339246936380851,0.6867090548333283,0.27645511470838074,1.0637894079705703,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,amp_ratio_clean,0.14504227340479492,0.05955513996985316,0.2386251822910982,0.16563847664920417,0.07427015032247143,0.2539934130665238,0.16280856785086725,0.0574076450283021,0.28684530509553163,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,corr_z,0.046324959878573435,-0.008568271951068285,0.09992740683551607,0.04919072926975701,-0.009273329135653909,0.1033622389776912,0.04377851923633805,-0.024508232454875482,0.11623564364229685,positive,positive,positive,True,True,qualified_consistent
DeepDenoiser,background_suppression_db,-0.9139698310257245,-3.649769699262306,1.7930410670289783,-0.060038513429207345,-2.345330011634421,2.04150591713159,0.05672617850788342,-2.899689141040629,2.577762336682235,negative,negative,positive,False,True,suggestive
Noisy,output_vs_clean_snr,3.3511917911378082e-09,-1.9465882019020938e-08,2.5605305882796218e-08,4.84426413815699e-09,-2.0614632916751668e-08,3.125600335017788e-08,-1.2688018768773066e-09,-3.335774204196747e-08,2.8903641487611824e-08,positive,positive,negative,False,True,suggestive
Noisy,amp_ratio_clean,0.30314588508032303,-0.23401403937661966,0.8590471219818538,0.4508305398653809,-0.0290686329191554,1.0851831819442346,0.2832723175948747,-0.5457913349041879,0.9464452066867477,positive,positive,positive,True,True,qualified_consistent
Noisy,corr_z,0.019347473498444456,-0.03983030789437713,0.07762823033300159,0.0029482257868293418,-0.05771274002817223,0.05336377456195362,0.0069452389139510315,-0.0416366898564225,0.06437699004257397,positive,positive,positive,True,True,qualified_consistent
Noisy,background_suppression_db,1.2261101326364959e-14,-2.646387328664863e-14,5.318892845721789e-14,9.311148844857785e-15,-1.734670119590783e-14,3.3169106891467105e-14,2.5457349088238305e-14,-3.26656358861773e-14,9.756597679823679e-14,positive,positive,positive,True,True,qualified_consistent
Wiener_blind,output_vs_clean_snr,0.5580491799099447,0.08444964366023718,1.0840406056308287,0.5778818484716405,0.2529358344250575,0.9193696026247835,0.6610646112218547,0.41096089955229953,0.9332666692334765,positive,positive,positive,True,True,qualified_consistent
Wiener_blind,amp_ratio_clean,0.282339280934661,-0.13139853281910005,0.6964433867982358,0.3772761096513691,0.0051747771295792685,0.8803809311368984,0.2568893085324276,-0.45053773264492036,0.8136305468402526,positive,positive,positive,True,False,qualified_consistent
Wiener_blind,corr_z,0.04275980100696075,-0.014373081637885211,0.0980432348317663,0.02878346236936826,-0.03217862367578871,0.08103227183901489,0.03498883121332042,-0.01353206331054923,0.08112142996174804,positive,positive,positive,True,True,qualified_consistent
Wiener_blind,background_suppression_db,0.2627084357536531,-0.4232806771129178,0.9813364899281551,0.2989555727159742,-0.030421712341940493,0.5545390484524136,0.3549566973792201,0.04139412772125543,0.6760085009286531,positive,positive,positive,True,False,qualified_consistent
Wiener_oracle,output_vs_clean_snr,2.3528091915123563,1.444463104058497,3.2686076540824325,2.521335269388242,1.6261978098456764,3.320013881260731,2.3684474609002826,1.3385256818230848,3.432523268581036,positive,positive,positive,True,True,qualified_consistent
Wiener_oracle,amp_ratio_clean,0.12403578484005978,0.04694351010468623,0.202271329562083,0.13901015893648466,0.0606535457272987,0.20130304258265494,0.1246938410178075,0.017480082592227907,0.23073738577481442,positive,positive,positive,True,True,qualified_consistent
Wiener_oracle,corr_z,0.06625842548387728,0.025830568258541183,0.10553449232454262,0.06899710850220948,0.028041698953799904,0.10690009186604035,0.06140278346332328,0.0029608356602007857,0.11083136264625387,positive,positive,positive,True,True,qualified_consistent
Wiener_oracle,background_suppression_db,0.555561117839499,-0.569722088247712,1.6623239836943209,0.19547558528912556,-0.7417282666813428,1.0111058911163653,0.12186164253712993,-0.5998883719389023,0.8864253468050952,positive,positive,positive,True,True,qualified_consistent
p01_e07,output_vs_clean_snr,-0.1858117608185097,-0.3916569893261153,-0.0013216113578233802,-0.22167698846645142,-0.40321360284125835,-0.011806080860981465,-0.25988391412320405,-0.4643653795762642,-0.06139379688090479,negative,negative,negative,True,True,qualified_consistent
p01_e07,amp_ratio_clean,0.15419459354254061,-0.1817983698507732,0.4891074449168774,0.22471924661282908,-0.10485384673392853,0.5980243122420767,0.10090106284486702,-0.46984830266235555,0.5693005462836539,positive,positive,positive,True,True,qualified_consistent
p01_e07,corr_z,-0.010337522600113114,-0.06040223637414443,0.03812315571798191,-0.030876992635537562,-0.07521279945670033,0.011443490767944873,-0.0420798108974622,-0.09145135144967781,0.011698710497843625,negative,negative,negative,True,True,qualified_consistent
p01_e07,background_suppression_db,-0.47098205985456065,-1.151394883765538,0.17188350459707205,-0.4394716832957608,-0.9337658927790172,0.1737213256168188,-0.2803986584864563,-1.0561665339341946,0.4551238617368593,negative,negative,negative,True,True,qualified_consistent
p05_e16,output_vs_clean_snr,-0.21095375454742613,-0.43855144142751123,-0.00491678991119707,-0.2492809508566397,-0.4570316206687886,-0.03398723478263479,-0.3089329416579312,-0.5938424616446684,-0.05648237415643413,negative,negative,negative,True,True,qualified_consistent
p05_e16,amp_ratio_clean,0.1908801696806841,-0.12022587150854097,0.5152505598518003,0.26870176586892747,-0.031004620558289786,0.6161580133378244,0.2027788296693366,-0.23045526884897555,0.5949124217230859,positive,positive,positive,True,True,qualified_consistent
p05_e16,corr_z,-0.018658739902960852,-0.0713037273625694,0.03261303508673733,-0.04087501464718982,-0.08270955601426787,-0.0036338885374073543,-0.04930013199499431,-0.10058030831292118,0.005265044097409552,negative,negative,negative,True,False,qualified_consistent
p05_e16,background_suppression_db,-0.37351177629711785,-1.1311340216645591,0.34796027351420117,-0.3374564292726115,-0.8581173440641594,0.37071137547797867,-0.31567530759750106,-1.0862704270712251,0.4436850302533158,negative,negative,negative,True,True,qualified_consistent
p0_e06,output_vs_clean_snr,-0.2295057304738251,-0.46960921457695604,-0.010946084807201615,-0.2581988497889241,-0.45058545650107956,-0.02983211345854635,-0.28755067806403983,-0.4912190719190597,-0.08453580945429509,negative,negative,negative,True,True,qualified_consistent
p0_e06,amp_ratio_clean,0.08056362648005755,-0.2577252956952309,0.42868953768439527,0.17016510461272222,-0.17300266369871498,0.53930744273648,0.04127256949093914,-0.46886743454145474,0.4486189856310752,positive,positive,positive,True,True,qualified_consistent
p0_e06,corr_z,-0.010788359274239157,-0.06266631025230066,0.039620506179547106,-0.031159279991334464,-0.07606014679868671,0.0062797865034326505,-0.040898851095811685,-0.09267283284196647,0.012224479746810062,negative,negative,negative,True,True,qualified_consistent
p0_e06,background_suppression_db,-0.5892655809979708,-1.3707946089044192,0.14922764954039802,-0.5770046940831299,-1.2087967424610242,0.18442353808752562,-0.31769693697212775,-1.115596864652423,0.5805845444310783,negative,negative,negative,True,True,qualified_consistent
